1620,0,1,643,0,0,-2.73,4.00,8.52,0.21,-0.37,0.18,0,0,0,
2163,0,1,648,0,0,-4.52,3.00,8.16,0.01,-0.42,-0.58,0,0,0,
2707,0,1,648,0,0,-5.54,2.64,7.64,0.56,-0.34,0.16,0,0,0,
3254,0,1,643,0,0,-5.60,2.35,7.69,0.53,-0.32,0.12,0,0,0,
3798,0,1,643,0,0,-6.03,2.14,7.42,-0.28,-0.49,-0.26,0,0,0,
4345,0,1,643,0.283333,0.300000,-1.37,3.53,9.04,0.96,0.19,2.44,0,0,0,
4983,0,1,642,0.283333,0.300000,5.19,1.56,8.16,-2.47,-1.94,-0.63,0,0,0,
5719,0,1,642,0.283333,0.300000,6.77,-1.60,6.90,-0.50,-1.05,0.28,0,0,0,
6339,0,1,643,0.283333,0.300000,5.48,-2.79,7.63,-0.38,-0.14,-1.86,0,0,0,
6990,0,1,642,0.283333,0.300000,5.65,-3.63,7.13,1.01,-0.06,0.04,0,0,0,
7729,0,1,641,0.283333,0.300000,6.64,-2.98,6.56,-0.62,-0.08,-0.31,0,0,0,
8352,0,1,642,0.283333,0.300000,6.82,-3.00,6.36,0.55,-0.75,0.46,0,0,0,
8983,0,1,640,0.283333,0.300000,7.34,-2.47,6.01,-0.60,-0.06,0.19,0,0,0,
9718,0,1,641,0.283333,0.300000,6.57,-3.71,6.24,-0.68,-0.88,-0.99,0,0,0,
10342,0,1,641,0.283333,0.300000,7.27,-2.58,6.03,0.69,0.91,0.46,0,0,0,
10985,0,1,642,0.283333,0.300000,6.93,-3.01,6.24,0.36,-0.53,-0.14,0,0,0,
12008,0,1,641,0.283333,0.300000,7.88,-2.72,5.15,0.13,1.95,1.39,0,0,0,
12634,0,1,639,0.283333,0.300000,8.60,-3.01,3.60,-0.51,-0.17,-1.50,0,0,0,
13308,0,1,639,0.283333,0.300000,8.88,-2.04,3.60,-0.11,-0.04,0.06,0,0,0,
14026,0,1,639,0.283333,0.300000,8.80,-2.13,3.74,-1.00,-0.02,-1.84,0,0,0,
