2451,0,0,     0,     0, 0.011, 0.001, 0.002, 18.74,     0,     0,     0
2561,0,0,     0,     0, 0.011,-0.002,-0.001, 18.21,     0,     0,     0
2670,0,0,     0,     0,-0.013, 0.003, 0.001, 18.27,     0,     0,     0
2779,0,0,     0,     0,-0.026, 0.002, 0.001, 18.25,     0,     0,     0
2886,0,0,     0,     0,-0.019, 0.002, 0.001, 18.69,     0,     0,     0
2993,0,0,     0,     0, -0.01,   0.0,   0.0, 18.21,     0,     0,     0
3102,0,0,     0,     0,-0.017, 0.004, 0.001, 18.22,     0,     0,     0
3208,0,0,     0,     0, -0.01, 0.001, 0.001, 18.28,     0,     0,     0
3315,0,0,     0,     0,-0.006,-0.001,-0.001, 18.31,     0,     0,     0
3423,0,0,     0,     0, 0.002, 0.004,-0.001, 18.28,     0,     0,     0
3532,0,0,     0,     0, 0.014,-0.004,   0.0,  18.7,     0,     0,     0
3641,0,0,     0,     0, 0.012,-0.002,   0.0, 18.23,     0,     0,     0
3749,0,0,     0,     0, 0.008,-0.004,-0.004, 18.28,     0,     0,     0
3856,0,0,     0,     0, 0.007,-0.003,-0.002, 18.71,     0,     0,     0
3964,0,0,     0,     0,-0.002,   0.0,   0.0, 20.42,     0,     0,     0
4073,0,0,     0,     0,-0.004, 0.003, 0.001, 20.39,     0,     0,     0
4181,0,0,     0,     0,-0.001,-0.001,-0.002, 18.72,     0,     0,     0
4289,0,0,     0,     0, 0.002, 0.002,   0.0, 18.64,     0,     0,     0
4396,0,0,     0,     0, 0.004,   0.0, 0.001, 18.73,     0,     0,     0
4504,0,0,     0,     0,  0.01,-0.001,-0.002,  18.7,     0,     0,     0
4611,0,0,     0,     0, 0.029,   0.0, 0.001, 18.65,     0,     0,     0
4718,0,0,     0,     0, -0.01, 0.027, 0.003, 20.06,     0,     0,     0
4825,0,0,     0,     0, 0.112,-0.037,-0.004, 19.15,     0,     0,     0
4934,0,0,     0,     0, 0.112,-0.021,-0.003, 19.11,     0,     0,     0
5043,0,0,     0,     0,  0.11,-0.018,-0.001, 18.64,     0,     0,     0
5152,0,0,     0,     0, 0.043,-0.009,-0.002, 19.62,     0,     0,     0
5259,0,0,     0,     0, 0.018, 0.002,   0.0, 19.56,     0,     0,     0
5366,0,0,     0,     0, 0.011,   0.0, 0.003, 19.98,     0,     0,     0
5476,0,0,     0,     0, 0.019,-0.004,-0.001, 18.65,     0,     0,     0
5585,0,0,     0,     0,-0.003,-0.003, 0.001, 18.69,     0,     0,     0
5694,0,0,     0,     0,-0.018, 0.001, 0.001, 18.29,     0,     0,     0
5802,0,0,     0,     0,-0.011,   0.0, 0.001, 18.22,     0,     0,     0
5909,0,0,     0,     0, 0.003, 0.001,   0.0, 19.93,     0,     0,     0
6017,0,0,     0,     0,  0.01, 0.002, 0.002, 19.93,     0,     0,     0
6126,0,0,     0,     0, 0.003,-0.002,-0.001, 19.99,     0,     0,     0
6238,0,0,     0,     0, 0.004,   0.0,   0.0, 18.67,     0,     0,     0
6347,0,0,     0,     0, 0.008, 0.001,-0.001, 20.42,     0,     0,     0
6456,0,0,     0,     0,-0.014,-0.007,-0.001, 20.45,     0,     0,     0
6564,0,0,     0,     0,-0.048, 0.002,   0.0, 18.67,     0,     0,     0
6671,0,0,     0,     0, -0.04, 0.003, 0.004, 18.33,     0,     0,     0
6778,0,0,     0,     0,-0.036, 0.001, 0.001, 18.29,     0,     0,     0
